sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none,proj_sum, proj_triu, proj_tril, proj_none,linear_baseline_score
89,36,0.26666666666666666,0.26666666666666666,0.3,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.3,0.4,0.5333333333333333
90,23,0.0,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.5238095238095238
91,53,0.40425531914893614,0.425531914893617,0.3617021276595745,0.3829787234042553,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.3617021276595745,0.3617021276595745
92,31,0.5357142857142857,0.4642857142857143,0.5,0.5,0.5714285714285714,0.5,0.6071428571428571,0.42857142857142855,0.5
93,23,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.4444444444444444
94,29,0.11538461538461539,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.46153846153846156
95,28,0.15384615384615385,0.11538461538461539,0.19230769230769232,0.2692307692307692,0.11538461538461539,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.5
96,30,0.4230769230769231,0.34615384615384615,0.38461538461538464,0.4230769230769231,0.5,0.4230769230769231,0.5,0.4230769230769231,0.46153846153846156
97,10,0.125,0.5,0.125,0.25,0.0,0.25,0.125,0.125,0.375
98,52,0.27906976744186046,0.3023255813953488,0.27906976744186046,0.27906976744186046,0.32558139534883723,0.4186046511627907,0.3488372093023256,0.3023255813953488,0.4418604651162791
99,42,0.3783783783783784,0.2972972972972973,0.32432432432432434,0.2972972972972973,0.5135135135135135,0.43243243243243246,0.43243243243243246,0.4594594594594595,0.40540540540540543
