sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none
129,44,0.3333333333333333,0.3055555555555556,0.3055555555555556,0.3055555555555556
130,20,0.35294117647058826,0.29411764705882354,0.29411764705882354,0.23529411764705882
131,20,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855
132,30,0.5555555555555556,0.37037037037037035,0.4074074074074074,0.5185185185185185
133,58,0.2708333333333333,0.20833333333333334,0.2708333333333333,0.2916666666666667
134,21,0.4375,0.5,0.3125,0.5
135,27,0.45454545454545453,0.36363636363636365,0.3181818181818182,0.4090909090909091
136,21,0.5263157894736842,0.3684210526315789,0.2631578947368421,0.47368421052631576
137,13,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.45454545454545453
138,25,0.45,0.35,0.3,0.45
139,34,0.32142857142857145,0.21428571428571427,0.21428571428571427,0.32142857142857145
140,13,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.45454545454545453
141,20,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.35294117647058826
142,39,0.40625,0.40625,0.46875,0.46875
143,30,0.36,0.24,0.44,0.4
144,35,0.5,0.46875,0.59375,0.53125
145,25,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.5238095238095238
146,9,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
147,8,0.6,0.2,0.6,0.4
148,30,0.48,0.44,0.48,0.48
149,30,0.3076923076923077,0.34615384615384615,0.34615384615384615,0.34615384615384615
150,15,0.5,0.6,0.4,0.5
151,16,0.4,0.4,0.6,0.6
152,19,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.4666666666666667
153,20,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.4117647058823529
154,10,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.7142857142857143
155,20,0.35294117647058826,0.47058823529411764,0.35294117647058826,0.35294117647058826
156,14,0.5,0.5833333333333334,0.3333333333333333,0.4166666666666667
157,19,0.5625,0.5,0.5,0.625
158,29,0.5384615384615384,0.46153846153846156,0.5,0.5384615384615384
159,19,0.5,0.4375,0.3125,0.3125
160,8,0.5,0.5,0.3333333333333333,0.5
161,24,0.3333333333333333,0.38095238095238093,0.23809523809523808,0.42857142857142855
162,39,0.47058823529411764,0.47058823529411764,0.2647058823529412,0.4117647058823529
163,15,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
164,28,0.5714285714285714,0.42857142857142855,0.47619047619047616,0.5714285714285714
165,31,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608
166,21,0.4375,0.4375,0.4375,0.4375
167,28,0.22727272727272727,0.3181818181818182,0.2727272727272727,0.36363636363636365
168,11,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
169,23,0.55,0.5,0.4,0.5
170,27,0.4,0.6,0.35,0.5
171,16,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.6363636363636364
172,23,0.55,0.4,0.4,0.5
173,25,0.3333333333333333,0.23809523809523808,0.42857142857142855,0.38095238095238093
174,20,0.5,0.35714285714285715,0.2857142857142857,0.35714285714285715
175,22,0.3684210526315789,0.21052631578947367,0.2631578947368421,0.2631578947368421
176,26,0.38095238095238093,0.42857142857142855,0.3333333333333333,0.47619047619047616
177,23,0.45,0.45,0.4,0.45
178,23,0.5882352941176471,0.5882352941176471,0.47058823529411764,0.6470588235294118
179,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
180,10,0.5,0.5,0.375,0.375
181,49,0.38636363636363635,0.3409090909090909,0.36363636363636365,0.4090909090909091
182,29,0.38095238095238093,0.23809523809523808,0.19047619047619047,0.3333333333333333
183,11,0.5,0.25,0.5,0.375
184,4,0.5,0.5,0.5,0.5
185,11,0.625,0.5,0.625,0.625
186,27,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.3333333333333333
187,21,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.3684210526315789
188,14,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.5833333333333334
189,16,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.5454545454545454
190,38,0.27586206896551724,0.20689655172413793,0.3448275862068966,0.27586206896551724
191,19,0.42857142857142855,0.2857142857142857,0.35714285714285715,0.35714285714285715
192,9,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
193,28,0.44,0.36,0.52,0.36
194,39,0.4722222222222222,0.3888888888888889,0.3888888888888889,0.5
195,9,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855
196,26,0.30434782608695654,0.2608695652173913,0.21739130434782608,0.21739130434782608
197,16,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715
198,12,0.5,0.5,0.25,0.5
199,29,0.34782608695652173,0.391304347826087,0.43478260869565216,0.4782608695652174
200,12,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556
201,13,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453
202,17,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.5384615384615384
203,19,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727
204,7,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
205,20,0.5294117647058824,0.5294117647058824,0.4117647058823529,0.5882352941176471
206,21,0.3125,0.375,0.3125,0.25
207,58,0.3333333333333333,0.3541666666666667,0.3958333333333333,0.3541666666666667
208,41,0.39473684210526316,0.3684210526315789,0.34210526315789475,0.39473684210526316
209,10,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857
210,2,1.0,1.0,1.0,1.0
211,25,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.391304347826087
212,33,0.5714285714285714,0.39285714285714285,0.42857142857142855,0.5
213,28,0.44,0.32,0.28,0.4
214,33,0.4827586206896552,0.5172413793103449,0.3448275862068966,0.5172413793103449
215,41,0.4411764705882353,0.4411764705882353,0.4117647058823529,0.4411764705882353
